Alimentazione/Fuel,EURO 0,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6
Benzina/Petrol," 2,745,944 ","601,345"," 1,665,979 "," 1,640,535 "," 3,811,752 "," 2,060,432 "," 5,172,203 "
Benzina-GPL/Petrol-LPG,"191,742","51,646","107,08","92,549","837,291","525,527"," 1,226,617 "
Benzina-Metano/Petrol-CNG,"31,765","9,595","26,433","30,614","287,592","261,542","183,804"
Gasolio/Diesel,"563,734","158,193","624,254"," 1,825,500 "," 4,077,237 "," 3,749,484 "," 5,897,289 "
Elettrico/BEV,-  ,-  ,-  ,-  ,-  ,-  ,-  
Ibrido Benzina/Hybrid Petrol-El.,-  ,-  ,1,3,"4,555","39,245"," 1,905,852 "
Ibrido Gasolio/Hybrid Diesel-El.,-  ,-  ,1,25,5,"1,823","260,418"
Altre/Others,589,6,8,6,58,8,38
VEICOLI INDUSTRIALI LEGGERI / LIGHT TRUCKS,,,,,,,
Alimentazione/Fuel,EURO 0,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6
Benzina/Petrol,"53,067","20,347","29,671","24,873","26,293","12,8","52,305"
Benzina-GPL/Petrol-LPG,"7,465","2,345","2,202","2,763","17,752","7,589","34,145"
Benzina-Metano/Petrol-CNG,"1,704",530,"1,072","2,698","22,737","28,552","39,251"
Gasolio/Diesel,"431,39","219,708","427,828","664,345","690,347","515,76"," 1,148,236 "
Elettrico/BEV,-  ,-  ,-  ,-  ,-  ,-  ,-  
Ibrido Benzina/Hybrid Petrol-El.,-  ,-  ,-  ,1,1,26,"29,482"
Ibrido Gasolio/Hybrid Diesel-El.,-  ,-  ,-  ,7,25,22,"23,772"
Altre/Others,13,2,8,1,-,15,16
N.I. /not identified,433,27,4,21,3,-,1
VEICOLI INDUSTRIALI PESANTI / M&H TRUCKS,,,,,,,
Alimentazione/Fuel,EURO 0,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6
Benzina/Petrol,"3,041",83,41,41,38,4,13
Benzina-GPL/Petrol-LPG,347,25,57,107,51,56,18
Benzina-Metano/Petrol-CNG,64,1,28,136,30,563,"2,494"
Gasolio/Diesel,"259,313","40,374","85,902","114,472","26,349","80,89","110,535"
Elettrico/BEV,-  ,-  ,-  ,-  ,-  ,-  ,-  
Ibrido Benzina/Hybrid Petrol-El.,-  ,-  ,-  ,-  ,-  ,-  ,12
Ibrido Gasolio/Hybrid Diesel-El.,-  ,-  ,1,-  ,-  ,-  ,187
Altre/Others,1,1,-,1,-,4,4
TRATTORI STRADALI / ROAD TRACTORS,,,,,,,
Alimentazione/Fuel,EURO 0,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6
Benzina/Petrol,103,6,5,21,-,-,1
Benzina-GPL/Petrol-LPG,7,1,7,3,3,15,7
Benzina-Metano/Petrol-CNG,4,-,-,2,-,44,"3,841"
Gasolio/Diesel,"15,588","2,827","11,16","25,838","3,951","42,666","114,264"
Gasolio-Gas/Diesel-Gas,-  ,-  ,-  ,-  ,-  ,-  ,89
Elettrico/BEV,-  ,-  ,-  ,-  ,-  ,-  ,-  
Ibrido Benzina/Hybrid Petrol-El.,-  ,-  ,-  ,-  ,-  ,-  ,1
Ibrido Gasolio/Hybrid Diesel-El.,-,-,-,-,1,-,4
Altre/Others,2,-,-,-,-,-,2